market_ids,city_ids,quarter,product_ids,firm_ids,brand_ids,shares,prices,sugar,mushy,demand_instruments0,demand_instruments1,demand_instruments2,demand_instruments3,demand_instruments4,demand_instruments5,demand_instruments6,demand_instruments7,demand_instruments8,demand_instruments9,demand_instruments10,demand_instruments11,demand_instruments12,demand_instruments13,demand_instruments14,demand_instruments15,demand_instruments16,demand_instruments17,demand_instruments18,demand_instruments19
C01Q1,1,1,F1B04,1,4,0.012417212,0.072087944,2,1,-0.21597281,0.040573407,-3.2479478,-0.52393769,-0.23246005,0.0068326605,3.1397395,-0.57478633,0.20622015,0.17746564,2.116358,-0.15470824,-0.0057964065,0.014538015,0.12624398,0.067344637,0.068422607,0.034800455,0.12634612,0.035483677
C01Q1,1,1,F1B06,1,6,0.0078093868,0.11417849,18,1,-0.24523931,0.054742257,-19.832461,-0.18051969,0.014688593,0.00079880264,0.28765387,0.032939598,0.10512078,-0.28756179,-7.3740909,-0.57641176,0.012990854,0.076143238,0.029735651,0.087866716,0.1105006,0.087783799,0.049871916,0.072579051
C01Q1,1,1,F1B07,1,7,0.012994511,0.13239066,4,1,-0.17645866,0.046595966,-2.8785314,-0.284219,-0.21553691,-0.031869328,2.8862741,-0.74976495,-0.47895649,0.21473886,2.1878721,-0.20734643,0.0035092777,0.091781174,0.16377308,0.11188073,0.10822551,0.086439048,0.12234707,0.10184248
C01Q1,1,1,F1B09,1,9,0.0057699613,0.13034408,3,0,-0.12140128,0.048760366,-2.0599182,-0.32841226,-0.22206995,-0.03147404,4.4531096,0.25567529,-0.47296731,0.35609804,2.7045762,0.040748009,-0.0037242656,0.09473168,0.13527378,0.088090007,0.10176745,0.10177748,0.11074119,0.10433204
C01Q1,1,1,F1B11,1,11,0.017934141,0.15482331,12,0,-0.13261144,0.039628351,-6.1375981,-0.1386251,-0.18936521,-0.043747102,-3.5546508,0.13882114,-0.68867839,0.26027264,1.2612419,0.034835584,-0.00056763743,0.10245147,0.13063951,0.084818199,0.10107461,0.12516923,0.13346381,0.1211111
C01Q1,1,1,F1B13,1,13,0.026601892,0.13704921,14,0,-0.15349981,0.042988416,-8.4173319,0.007829087,-0.13850121,-0.021058227,-2.7594799,0.05020052,-0.27344401,0.12730603,0.33755428,0.023510369,0.00026377771,0.086279835,0.072335807,0.022250509,0.10564387,0.11603699,0.099650635,0.1057266
C01Q1,1,1,F1B17,1,17,0.025014766,0.14420936,3,1,-0.16435179,0.044922443,-2.3893479,-0.15696969,-0.21514541,-0.04554316,4.3440995,-0.85874027,-0.73370493,0.24652369,2.6175045,-0.19557813,0.0044887336,0.094149784,0.1384736,0.11027328,0.1011923,0.10608155,0.14358511,0.12097338
C01Q1,1,1,F1B30,1,30,0.0050580497,0.12819085,4,0,-0.11816579,0.049644512,-2.3140193,-0.3175372,-0.22352553,-0.029127832,3.2750566,0.23548704,-0.42921175,0.36743894,2.5911422,0.044275202,-0.004562733,0.10883072,0.13549108,0.12817642,0.059035586,0.085439848,0.0446232,0.097110871
C01Q1,1,1,F1B45,1,45,0.0053317646,0.14961074,14,0,-0.1443808,0.042090926,-8.1647209,-0.022463175,-0.15265181,-0.029185056,-3.3269244,0.07249372,-0.41624406,0.15871951,0.489811,0.026015589,-6.5687053e-05,0.11429732,0.11636833,0.14162491,0.095104036,0.12210162,0.13122075,0.11900878
C01Q1,1,1,F2B05,2,5,0.038067798,0.10851394,1,0,-0.11646667,0.0603613,-2.5099602,-0.32579878,-0.2281355,-0.0070796025,6.4730792,0.25524882,-0.018390228,0.37925995,2.7279286,0.035499428,-0.0078437756,0.083078587,0.020241535,-0.020562089,0.064436451,0.082677951,-0.0073393849,0.07205275
